videoID,timeadjusted,originalsamples,adjustedsamples,start_time_analysiswindow,end_time_analysiswindow,perc_twopersonsdetected,average_com_movementp1,average_com_movementp2,smoothness_distancecom,SPARC_smoothness_distancecom,smoothness_distancecentroid,smoothness_xy_average_com_p1,smoothness_xy_average_com_p2,smoothness_xy_average_centroid_p1,smoothness_xy_average_centroid_p2,smoothness_p1_proximity,smoothness_p2_proximity
point_14_6_kam_5_chair,TRUE - Adjusted to start at + 7.0With a window length of: 100 seconds,33900,5001,7.0,107.0,0.9472271386430678,22.5803968284244,43.47598975443861,41.431027550410064,-1381.4953870447434,43.125859574715975,40.64740086279449,40.674952505443855,43.59056068928272,44.35817876028382,40.25583031877322,41.39812241125742
point_14_7_kam_5_chair,TRUE - Adjusted to start at + 97.5With a window length of: 100 seconds,26650,5001,97.5,197.5,0.9205253283302064,30.16364688312434,57.74552708658146,43.879570751565744,-1287.5286823668052,42.38166366149965,41.546560610534065,45.59551775928746,41.60970076828764,44.40944973727814,46.76476872988535,48.416105801097075
point_1_2_kam_5_chair,TRUE - Adjusted to start at + 23.5With a window length of: 100 seconds,20822,5001,23.5,123.5,0.7807127077129958,16.56747555348067,34.1192630491794,40.660665611613844,-1623.579370914707,39.16851463790346,42.15902250052528,41.36406261418512,40.31367689890158,40.205823838268195,39.78395113076277,39.778982126580104
point_1_3_kam_5_chair,TRUE - Adjusted to start at + 49.0With a window length of: 100 seconds,30050,5001,49.0,149.0,0.8422628951747089,20.720048225906854,40.75369425972168,46.33982701739916,-1432.878384780701,38.820991361207085,42.73668206847762,43.57639065594092,39.35924567445713,41.65795680102062,40.33665667681004,43.770694917506034
point_1_4_kam_5_chair,TRUE - Adjusted to start at + 28.0With a window length of: 100 seconds,29112,5001,28.0,128.0,0.7291151415223963,21.69868345696027,39.52086411937927,43.29264947664032,-1432.1687743068142,47.02648577384634,41.320034526343804,44.888115535234476,43.11353079601005,44.11325695522591,42.61764113044356,42.565363854087686
point_1_6_kam_5_chair,TRUE - Adjusted to start at + 20.0With a window length of: 100 seconds,19964,5001,20.0,120.0,0.8784812662793028,30.382731756866633,55.549954027558016,41.56271718381588,-1388.5558921434417,43.29982363483534,41.391425324178456,43.101306020101745,45.30938170369255,43.3460415819204,41.627811480415374,45.95118610332029
point_1_7_kam_5_chair,TRUE - Adjusted to start at + 17.0With a window length of: 100 seconds,22402,5001,17.0,117.0,0.7516293188108205,20.34967775598732,39.6125170986334,40.52970899467049,-964.3356357622024,41.71986901984192,42.13983540033959,43.96011972048032,40.0646627042679,45.43140432949969,41.38066359461057,42.36647750186224
point_2_2_kam_5_chair,TRUE - Adjusted to start at + 35.2With a window length of: 100 seconds,28003,5001,35.2,135.2,0.921901224868764,23.641526936037376,47.84846901024728,44.29522630972969,-1237.6053291993376,43.50622298097836,41.916871358905226,46.4140289494957,42.901647839507675,48.09238781503845,41.68909505447142,46.624521210003806
point_2_3_kam_5_chair,TRUE - Adjusted to start at + 32.5With a window length of: 100 seconds,35050,5001,32.5,132.5,0.9428530670470756,22.117171238429506,49.298028510871454,47.14439534859355,-1375.8866060072353,42.25012571150176,43.14362620299102,47.3158075401072,44.110846553042535,42.83203847948096,41.919120698403816,44.88882416302033
point_2_4_kam_5_chair,TRUE - Adjusted to start at + 20.5With a window length of: 100 seconds,37537,5001,20.5,120.5,0.7554412979193862,18.970290770688177,42.44408639429225,42.6887630111968,-1534.7174765838915,42.33304953219084,46.501043984239075,43.15855107270363,46.469712255914224,42.479573829970064,42.304149123459474,41.68963215075521
